name,author,url,thumbUrl
Blades,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Blades-Flawed_Koncepts.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Blades-Flawed_Koncepts.png
Blurry,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Blurry-Flawed_Koncepts.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Blurry-Flawed_Koncepts.png
Brown Happiness,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Brown_Happiness-Flawed_Koncepts.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Brown_Happiness-Flawed_Koncepts.png
Eamon,Eamon,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Eamon.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Eamon.png
Faelan,Faelan,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Faelan.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Faelan.png
Furry Sea,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Furry_Sea-Flawed_Koncepts.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Furry_Sea-Flawed_Koncepts.png
Galatea,Galatea,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Galatea.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Galatea.png
Galen,Galen,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Galen.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Galen.png
Galilea,Galilea,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Galilea.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Galilea.png
Hesper,Hesper,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Hesper.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Hesper.png
Imperfekt,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Imperfekt-Flawed_Koncepts.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Imperfekt-Flawed_Koncepts.png
Ione,Ione,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Ione.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Ione.png
Isolde,Isolde,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Isolde.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Isolde.png
Jareth,Jareth,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Jareth.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Jareth.png
Jessamine,Jessamine,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Jessamine.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Jessamine.png
Kael,Kael,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Kael.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Kael.png
Kalinda,Kalinda,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Kalinda.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Kalinda.png
Keir,Keir,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Keir.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Keir.png
Leocadia,Leocadia,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Leocadia.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Leocadia.png
Leontine,Leontine,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Leontine.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Leontine.png
Lysander,Lysander,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Lysander.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Lysander.png
Maelis,Maelis,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Maelis.png,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Maelis.png
